baseline

neg,pos,LTC2449,HP3456
4.92,4.68,0.047967184335,+2.39743750E-01
4.936,4.664,0.0543632283807,+2.71706980E-01
4.952,4.648,0.0607578773052,+3.03666510E-01
4.968,4.632,0.0671673659235,+3.35699450E-01
>>> 


0.4V sweep, high common mode

neg,pos,LTC2449,HP3456
4.6,5.0,-0.0800621025264,-4.00122470E-01
4.616,4.984,-0.0736657772213,-3.68157370E-01
4.632,4.968,-0.0672569833696,-3.36126450E-01
4.648,4.952,-0.0608451589942,-3.04081680E-01
4.664,4.936,-0.0544531065971,-2.72137250E-01
4.68,4.92,-0.0480562169105,-2.40166390E-01
4.696,4.904,-0.0416462384164,-2.08132190E-01
4.712,4.888,-0.0352513752878,-1.76172140E-01
4.728,4.872,-0.0288569983095,-1.44214720E-01
4.744,4.856,-0.0224494170398,-1.12193200E-01
4.76,4.84,-0.0160394255072,-8.01576790E-02
4.776,4.824,-0.00964443199337,-4.81951410E-02
4.792,4.808,-0.00324896164238,-1.62337540E-02
4.808,4.792,0.00316137820482,+1.58059850E-02
4.824,4.776,0.00955616682768,+4.77644380E-02
4.84,4.76,0.0159508492798,+7.97241610E-02
4.856,4.744,0.0223608873785,+1.11758830E-01
4.872,4.728,0.0287704933435,+1.43791110E-01
4.888,4.712,0.0351646859199,+1.75749960E-01
4.904,4.696,0.0415603965521,+2.07712460E-01
4.92,4.68,0.0479697566479,+2.39745000E-01
4.936,4.664,0.0543653573841,+2.71708980E-01
4.952,4.648,0.0607602093369,+3.03668250E-01
4.968,4.632,0.0671695806086,+3.35701070E-01


ideal common mode

neg,pos,LTC2449,HP3456
2.3,2.7,-0.0800140034407,-3.99981730E-01
2.316,2.684,-0.0736350417137,-3.68097910E-01
2.332,2.668,-0.0672280881554,-3.36069600E-01
2.348,2.652,-0.0608174353838,-3.04023210E-01
2.364,2.636,-0.0544394161552,-2.72141490E-01
2.38,2.62,-0.0480332504958,-2.40114530E-01
2.396,2.604,-0.041623108089,-2.08071110E-01
2.412,2.588,-0.0352163277566,-1.76043990E-01
2.428,2.572,-0.0288361702114,-1.44149650E-01
2.444,2.556,-0.022428650409,-1.12116780E-01
2.46,2.54,-0.0160201005638,-8.00840900E-02
2.476,2.524,-0.00964103452861,-4.81936460E-02
2.492,2.508,-0.00323497876525,-1.61697340E-02
2.508,2.492,0.00317501276731,+1.58738930E-02
2.524,2.476,0.00958083570004,+4.78973630E-02
2.54,2.46,0.01596012339,+7.97877830E-02
2.556,2.444,0.0223675463349,+1.11817050E-01
2.572,2.428,0.0287753883749,+1.43850570E-01
2.588,2.412,0.0351582057774,+1.75756320E-01
2.604,2.396,0.0415623784065,+2.07771540E-01
2.62,2.38,0.0479727871716,+2.39818420E-01
2.636,2.364,0.0543800909072,+2.71848100E-01
2.652,2.348,0.0607576947659,+3.03728590E-01
2.668,2.332,0.0671665482223,+3.35767140E-01


low common mode

neg,pos,LTC2449,HP3456
0.0,0.4,-0.0799759086221,-3.99891980E-01
0.016,0.384,-0.0736018512398,-3.68023870E-01
0.032,0.368,-0.0671965423971,-3.35995810E-01
0.048,0.352,-0.0607908256352,-3.03966490E-01
0.064,0.336,-0.0543970279396,-2.71997140E-01
0.08,0.32,-0.0480044167489,-2.40031510E-01
0.096,0.304,-0.0416002143174,-2.08008290E-01
0.112,0.288,-0.0352091006935,-1.76052470E-01
0.128,0.272,-0.0288165844977,-1.44087690E-01
0.144,0.256,-0.0224090069532,-1.12048220E-01
0.16,0.24,-0.0160017814487,-8.00124190E-02
0.176,0.224,-0.00960855744779,-4.80438400E-02
0.192,0.208,-0.0032196175307,-1.60985860E-02
0.208,0.192,0.00318716280162,+1.59380630E-02
0.224,0.176,0.00957849621773,+4.78952570E-02
0.24,0.16,0.0159707870334,+7.98591430E-02
0.256,0.144,0.0223773084581,+1.11894330E-01
0.272,0.128,0.0287830773741,+1.43924370E-01
0.288,0.112,0.0351766012609,+1.75890700E-01
0.304,0.096,0.041568107903,+2.07849450E-01
0.32,0.08,0.047973478213,+2.39878010E-01
0.336,0.064,0.054365022108,+2.71837000E-01
0.352,0.048,0.0607564672828,+3.03795400E-01
0.368,0.032,0.0671621337533,+3.35824730E-01
