85C
5.000313
experiment 1: Low CM
neg,pos,LTC2449,HP3456
neg,pos,LTC2449,HP3456
2.3,2.7,-0.0800133187324,-4.00052160E-01
2.316,2.684,-0.0736355800182,-3.68163860E-01
2.332,2.668,-0.0672285126522,-3.36130440E-01
2.348,2.652,-0.0608182379976,-3.04079310E-01
2.364,2.636,-0.054439862445,-2.72189230E-01
2.38,2.62,-0.0480336317793,-2.40160410E-01
2.396,2.604,-0.0416238699108,-2.08112870E-01
2.412,2.588,-0.0352166196331,-1.76075900E-01
2.428,2.572,-0.0288367521018,-1.44175330E-01
2.444,2.556,-0.0224288083613,-1.12138600E-01
2.46,2.54,-0.016020780988,-8.00999390E-02
2.476,2.524,-0.0096411049366,-4.82036760E-02
2.492,2.508,-0.00323467161506,-1.61720390E-02
2.508,2.492,0.00317478366196,+1.58751520E-02
2.524,2.476,0.00958038307726,+4.79018360E-02
2.54,2.46,0.0159598870203,+7.97974400E-02
2.556,2.444,0.0223668975756,+1.11832880E-01
2.572,2.428,0.0287750395015,+1.43872140E-01
2.588,2.412,0.0351577151567,+1.75783500E-01
2.604,2.396,0.0415614811704,+2.07803460E-01
2.62,2.38,0.0479723732919,+2.39854320E-01
2.636,2.364,0.054379716143,+2.71890850E-01
2.652,2.348,0.0607568824664,+3.03775330E-01
2.668,2.332,0.0671660026535,+3.35820240E-01
2.684,2.316,0.073572326079,+3.67851310E-01
experiment 3: High CM
neg,pos,LTC2449,HP3456
4.6,5.0,-0.0800640655681,-4.00207240E-01
4.616,4.984,-0.0736694240943,-3.68240520E-01
4.632,4.968,-0.0672598205507,-3.36200740E-01
4.648,4.952,-0.0608478730544,-3.04150860E-01
4.664,4.936,-0.0544563364238,-2.72202700E-01
4.68,4.92,-0.048058863543,-2.40223980E-01
4.696,4.904,-0.041649046354,-2.08184550E-01
4.712,4.888,-0.0352537918836,-1.76217010E-01
4.728,4.872,-0.0288595851511,-1.44254240E-01
4.744,4.856,-0.0224524023011,-1.12226230E-01
4.76,4.84,-0.0160425903276,-8.01859890E-02
4.776,4.824,-0.00964712593704,-4.82191520E-02
4.792,4.808,-0.00325197223574,-1.62515350E-02
4.808,4.792,0.00315873865038,+1.57929640E-02
4.824,4.776,0.00955378897488,+4.77583070E-02
4.84,4.76,0.0159481756389,+7.97219810E-02
4.856,4.744,0.0223582580686,+1.11763440E-01
4.872,4.728,0.0287676159292,+1.43800460E-01
4.888,4.712,0.0351627312601,+1.75765920E-01
4.904,4.696,0.0415572669357,+2.07733400E-01
4.92,4.68,0.0479666275904,+2.39770300E-01
4.936,4.664,0.0543624784797,+2.71740520E-01
4.952,4.648,0.0607575561851,+3.03706020E-01
4.968,4.632,0.0671666044742,+3.35742210E-01
4.984,4.616,0.073576144129,+3.67779880E-01
>>> 

5.000356

experiment 1: Low CM
neg,pos,LTC2449,HP3456
0.0,0.4,-0.0799711635336,-3.99979490E-01
0.016,0.384,-0.0736005544662,-3.68117480E-01
0.032,0.368,-0.0671952258795,-3.36081570E-01
0.048,0.352,-0.0607902364805,-3.04044900E-01
0.064,0.336,-0.0543961929157,-2.72064950E-01
0.08,0.32,-0.0480028413236,-2.40089850E-01
0.096,0.304,-0.0415990145877,-2.08060520E-01
0.112,0.288,-0.0352081902325,-1.76096350E-01
0.128,0.272,-0.0288155386224,-1.44123970E-01
0.144,0.256,-0.0224074471742,-1.12071530E-01
0.16,0.24,-0.0160009741783,-8.00300500E-02
0.176,0.224,-0.00960687901825,-4.80491480E-02
0.192,0.208,-0.0032190779224,-1.60993590E-02
0.208,0.192,0.00318741407245,+1.59422870E-02
0.224,0.176,0.00957859903574,+4.79087390E-02
0.24,0.16,0.0159706464037,+7.98782690E-02
0.256,0.144,0.0223767878488,+1.11918520E-01
0.272,0.128,0.0287830850109,+1.43960890E-01
0.288,0.112,0.0351769054309,+1.75937320E-01
0.304,0.096,0.0415689595044,+2.07909290E-01
0.32,0.08,0.0479748433456,+2.39949190E-01
0.336,0.064,0.0543655531481,+2.71912170E-01
0.352,0.048,0.0607580287382,+3.03882660E-01
