Friday, December 5
Testing two additional boards
Board 2, direct MUXOUT / ADCIN connection
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.68,2.32,0.0719504121691,+3.59786550E-01,+5.00063550E+00,6.91813891673
2.72,2.28,0.087969776243,+4.39890950E-01,+5.00063300E+00,8.33769292419
2.76,2.24,0.103959491476,+5.19845190E-01,+5.00063050E+00,11.5760343398
2.8,2.2,0.119947388396,+5.99792620E-01,+5.00063180E+00,12.9076189733
2.84,2.16,0.135934882611,+6.79738270E-01,+5.00063810E+00,14.726687703
2.88,2.12,0.15195434913,+7.59842400E-01,+5.00063180E+00,16.2327990857
2.92,2.08,0.167946260795,+8.39810060E-01,+5.00063180E+00,17.2752603975
2.96,2.04,0.183933406696,+9.19752110E-01,+5.00063550E+00,20.7767227011
3.0,2.0,0.199936152995,+9.99774640E-01,+5.00063300E+00,20.687925818
experiment 4: +/-1V sweep, VCM = 4.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.0,5.0,-0.199970709905,-1.00013290E+00,+5.00063300E+00,164.767721174
4.04,4.96,-0.1839684017,-9.20088700E-01,+5.00062930E+00,141.958705487
4.08,4.92,-0.167982766405,-8.40139860E-01,+5.00063300E+00,129.774240124
4.12,4.88,-0.151995866373,-7.60183540E-01,+5.00063180E+00,117.297247504
4.16,4.84,-0.135980915278,-6.80087790E-01,+5.00063300E+00,105.296859468
4.2,4.8,-0.119995330274,-6.00139380E-01,+5.00063300E+00,93.9715831124
4.24,4.76,-0.104008754715,-5.20185190E-01,+5.00063550E+00,81.5596290272
4.28,4.72,-0.0880225896835,-4.40231300E-01,+5.00063430E+00,67.8004142966
4.32,4.68,-0.0720072779804,-3.60132910E-01,+5.00063180E+00,55.3465019341
4.36,4.64,-0.0560212038457,-2.80180180E-01,+5.00063180E+00,42.1279758713
4.4,4.6,-0.0400342054665,-2.00225020E-01,+5.00063050E+00,31.1532447472
4.44,4.56,-0.0240180175751,-1.20122810E-01,+5.00063180E+00,18.9886771017
4.48,4.52,-0.00803116373718,-4.01644950E-02,+5.00063180E+00,4.08411316874
4.52,4.48,0.00795389302075,+3.97802580E-02,+5.00063180E+00,-6.24487853035
4.56,4.44,0.0239412881434,+1.19741430E-01,+5.00062930E+00,-21.3595620583
4.6,4.4,0.0399586603045,+1.99849910E-01,+5.00063180E+00,-33.7602072669
4.64,4.36,0.0559473071247,+2.79814030E-01,+5.00063180E+00,-45.5038348735
4.68,4.32,0.0719327434897,+3.59763360E-01,+5.00063180E+00,-58.511574107
4.72,4.28,0.087946806103,+4.39855800E-01,+5.00063300E+00,-71.3761688144
4.76,4.24,0.103932973742,+5.19806920E-01,+5.00063430E+00,-82.3628230633
4.8,4.2,0.119919932261,+5.99763580E-01,+5.00063300E+00,-95.2048509778
4.84,4.16,0.135903794318,+6.79704490E-01,+5.00063300E+00,-107.645848393
4.88,4.12,0.15192043744,+7.59807370E-01,+5.00063430E+00,-117.935245584
4.92,4.08,0.167906885222,+8.39762440E-01,+5.00063300E+00,-131.803635604
4.96,4.04,0.18389329575,+9.19714710E-01,+5.00063300E+00,-142.860817285
5.0,4.0,0.19989662841,+9.99754320E-01,+5.00063430E+00,-156.377784222

Board 2, Common Mode Control circuit active, 10nF caps added
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,1.5,0.0499832309783,+4.99875730E-01,+5.00065310E+00,15.8696354797
2.0,1.616,0.038388594985,+3.83916500E-01,+5.00065690E+00,15.2779549574
2.0,1.732,0.0267859689891,+2.67883160E-01,+5.00065690E+00,8.50684169273
2.0,1.848,0.0151905156672,+1.51917700E-01,+5.00066070E+00,5.70647706943
2.0,1.964,0.00358723290265,+3.58728330E-02,+5.00065820E+00,3.78777312141
2.0,2.08,-0.0080079946667,-8.00882390E-02,+5.00065690E+00,-1.2675693063
2.0,2.196,-0.0196027133614,-1.96046410E-01,+5.00065690E+00,-4.12523100071
2.0,2.312,-0.0312055401504,-3.12086830E-01,+5.00065820E+00,-5.90564887293
2.0,2.428,-0.0428004119545,-4.28047990E-01,+5.00065690E+00,-7.2244542304
2.0,2.544,-0.0544035755098,-5.44090150E-01,+5.00066070E+00,-10.9652653438
2.0,2.66,-0.0659984186292,-6.60049130E-01,+5.00066070E+00,-14.346442286
2.0,2.776,-0.0776018295437,-7.76089670E-01,+5.00065940E+00,-21.6541017704
2.0,2.892,-0.0891968619078,-8.92046620E-01,+5.00066070E+00,-29.1597158775
2.0,3.008,-0.100792441145,-1.00802100E+00,+5.00065690E+00,-23.7369374554
2.0,3.124,-0.112394957989,-1.12405800E+00,+5.00066070E+00,-26.6106017899
2.0,3.24,-0.123991368338,-1.24002490E+00,+5.00066200E+00,-38.0683315684
2.0,3.356,-0.135594000295,-1.35606190E+00,+5.00065940E+00,-40.6523216778
2.0,3.472,-0.14718923308,-1.47202630E+00,+5.00066200E+00,-43.2458479989
2.0,3.588,-0.158784703165,-1.58798590E+00,+5.00066200E+00,-52.3075896079
2.0,3.704,-0.170387803391,-1.70402890E+00,+5.00066200E+00,-54.2799137573
2.0,3.82,-0.18198332265,-1.81999100E+00,+5.00066200E+00,-61.3334528907
2.0,3.936,-0.19358577095,-1.93602400E+00,+5.00065940E+00,-65.7791001724
2.0,4.052,-0.20518162474,-2.05199230E+00,+5.00065820E+00,-69.42562506
2.0,4.168,-0.216776201129,-2.16795300E+00,+5.00066320E+00,-70.5289375138
2.0,4.284,-0.228379083425,-2.28398850E+00,+5.00066450E+00,-78.4433295284
2.0,4.4,-0.239975549281,-2.39996160E+00,+5.00065940E+00,-81.5742314075
experiment 2: +/-1V sweep, VCM = 1.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
1.0,2.0,-0.0999971240759,-1.00006300E+00,+5.00066070E+00,-28.3767741425
1.04,1.96,-0.0919933766127,-9.20014150E-01,+5.00066070E+00,-30.1364820675
1.08,1.92,-0.0839999213815,-8.40072050E-01,+5.00065690E+00,-27.4424836491
1.12,1.88,-0.0760053038597,-7.60118590E-01,+5.00066200E+00,-25.9585780332
1.16,1.84,-0.0679947420955,-6.80006890E-01,+5.00066200E+00,-22.3962619431
1.2,1.8,-0.0599989388138,-6.00045640E-01,+5.00066070E+00,-15.8305453722
1.24,1.76,-0.0520046252757,-5.20093320E-01,+5.00066200E+00,-15.5460490867
1.28,1.72,-0.0440105430782,-4.40143540E-01,+5.00066070E+00,-14.7648152008
1.32,1.68,-0.0360023416579,-3.60055630E-01,+5.00066200E+00,-11.1332063221
1.36,1.64,-0.028006567806,-2.80089430E-01,+5.00066070E+00,-9.89500228482
1.4,1.6,-0.0200121391565,-2.00138380E-01,+5.00066570E+00,-7.2541615895
1.44,1.56,-0.0120029233396,-1.20038420E-01,+5.00066320E+00,-5.29365847859
1.48,1.52,-0.00400785319507,-4.00828300E-02,+5.00065820E+00,-0.496925288307
1.52,1.48,0.00398688986897,+3.98725780E-02,+5.00066320E+00,1.1304523297
1.56,1.44,0.011982255429,+1.19832670E-01,+5.00065820E+00,4.21979794678
1.6,1.4,0.0199904069304,+1.99921330E-01,+5.00066070E+00,6.75567347658
1.64,1.36,0.0279850795865,+2.79874230E-01,+5.00066070E+00,10.1869914558
1.68,1.32,0.0359803892672,+3.59834420E-01,+5.00066200E+00,12.792869053
1.72,1.28,0.0439908511937,+4.39946680E-01,+5.00065940E+00,14.5679374576
1.76,1.24,0.0519846860319,+5.19889940E-01,+5.00065940E+00,19.2392872846
1.8,1.2,0.0599799063057,+5.99851460E-01,+5.00065940E+00,19.5066525841
1.84,1.16,0.0679741427302,+6.79798850E-01,+5.00066320E+00,24.5809440584
1.88,1.12,0.0759844031185,+7.59908470E-01,+5.00065940E+00,26.6508873018
1.92,1.08,0.0839769762009,+8.39840970E-01,+5.00066070E+00,29.6815038198
1.96,1.04,0.0919721096754,+9.19798730E-01,+5.00066200E+00,33.1006841389
2.0,1.0,0.0999740172178,+9.99825750E-01,+5.00066070E+00,34.5304323427
experiment 3: +/-1V sweep, VCM = 2.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,3.0,-0.099997626245,-1.00007180E+00,+5.00066200E+00,-24.8590594767
2.04,2.96,-0.0919952616096,-9.20033720E-01,+5.00066200E+00,-29.6579004131
2.08,2.92,-0.0840013168752,-8.40085640E-01,+5.00066070E+00,-28.4474893884
2.12,2.88,-0.0760060336441,-7.60125570E-01,+5.00066450E+00,-26.6573259928
2.16,2.84,-0.0679966136813,-6.80024340E-01,+5.00066200E+00,-23.664373782
2.2,2.8,-0.0600028339773,-6.00077800E-01,+5.00066200E+00,-22.7828658583
2.24,2.76,-0.0520088840276,-5.20131720E-01,+5.00066200E+00,-19.7386952931
2.28,2.72,-0.0440137140453,-4.40174580E-01,+5.00065820E+00,-15.2182298749
2.32,2.68,-0.036003780365,-3.60066720E-01,+5.00066070E+00,-14.3384009447
2.36,2.64,-0.0280092570931,-2.80116730E-01,+5.00066070E+00,-9.49110384463
2.4,2.6,-0.020014347136,-2.00159570E-01,+5.00066200E+00,-7.99852753131
2.44,2.56,-0.0120048969984,-1.20060730E-01,+5.00065940E+00,-2.63139136882
2.48,2.52,-0.00401023887098,-4.01071530E-02,+5.00066070E+00,-0.0535895235826
2.52,2.48,0.00398378893733,+3.98396310E-02,+5.00065820E+00,3.02455752661
2.56,2.44,0.011977866292,+1.19788670E-01,+5.00066070E+00,4.38306512258
2.6,2.4,0.0199879229069,+1.99893660E-01,+5.00065940E+00,9.53048549773
2.64,2.36,0.0279824864119,+2.79845070E-01,+5.00066200E+00,13.4848838537
2.68,2.32,0.0359765999019,+3.59794530E-01,+5.00066200E+00,14.7846537614
2.72,2.28,0.043986691907,+4.39900930E-01,+5.00065940E+00,18.7200851444
2.76,2.24,0.0519817188382,+5.19856780E-01,+5.00065690E+00,22.4638875256
2.8,2.2,0.0599757093936,+5.99805460E-01,+5.00065940E+00,23.5325008456
2.84,2.16,0.0679694604129,+6.79750110E-01,+5.00065820E+00,25.812435126
2.88,2.12,0.0759790495038,+7.59856240E-01,+5.00066320E+00,25.9157563852
2.92,2.08,0.0839753009379,+8.39825010E-01,+5.00065940E+00,28.6685275329
2.96,2.04,0.0919689934701,+9.19767060E-01,+5.00066320E+00,33.8256018335
3.0,2.0,0.0999704483896,+9.99788970E-01,+5.00066070E+00,35.6178637123
experiment 4: +/-1V sweep, VCM = 4.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
4.0,5.0,-0.100004739687,-1.00013910E+00,+5.00066200E+00,-28.702042272
4.04,4.96,-0.0920020729303,-9.20093810E-01,+5.00066200E+00,-37.6893090241
4.08,4.92,-0.0840077657253,-8.40145100E-01,+5.00066200E+00,-33.7021549294
4.12,4.88,-0.0760126557201,-7.60188900E-01,+5.00065940E+00,-28.7807726073
4.16,4.84,-0.0680033262819,-6.80088660E-01,+5.00066070E+00,-26.3016550784
4.2,4.8,-0.0600089758635,-6.00140750E-01,+5.00065820E+00,-20.8030590629
4.24,4.76,-0.0520142003894,-5.20182700E-01,+5.00065690E+00,-21.3981755357
4.28,4.72,-0.0440194282681,-4.40231050E-01,+5.00065690E+00,-15.782845089
4.32,4.68,-0.036010107398,-3.60130800E-01,+5.00065820E+00,-13.3562842613
4.36,4.64,-0.0280154313892,-2.80178560E-01,+5.00065820E+00,-9.27140754181
4.4,4.6,-0.0200204122812,-2.00222150E-01,+5.00065820E+00,-5.92512797537
4.44,4.56,-0.0120110284537,-1.20118950E-01,+5.00065940E+00,-5.73329474754
4.48,4.52,-0.00401565432549,-4.01610930E-02,+5.00065690E+00,-0.244122084006
4.52,4.48,0.00397846139967,+3.97879340E-02,+5.00065820E+00,1.43980713015
4.56,4.44,0.0119738690555,+1.19748280E-01,+5.00065820E+00,4.73602933444
4.6,4.4,0.0199841719121,+1.99856140E-01,+5.00065570E+00,9.38815971199
4.64,4.36,0.0279800925404,+2.79822500E-01,+5.00065940E+00,11.9677914519
4.68,4.32,0.0359743922949,+3.59770970E-01,+5.00065940E+00,16.0788609103
4.72,4.28,0.0439828656614,+4.39864030E-01,+5.00066070E+00,17.4673956844
4.76,4.24,0.0519775107503,+5.19818020E-01,+5.00065940E+00,19.3978691561
4.8,4.2,0.0599726624787,+5.99774170E-01,+5.00065940E+00,24.3496988689
4.84,4.16,0.0679660897702,+6.79716450E-01,+5.00065690E+00,25.5852661731
4.88,4.12,0.0759761508554,+7.59820840E-01,+5.00065820E+00,31.5660232666
4.92,4.08,0.0839708976448,+8.39776270E-01,+5.00066070E+00,33.5886392746
4.96,4.04,0.0919660057873,+9.19729920E-01,+5.00065690E+00,39.9264115465
5.0,4.0,0.0999688990414,+9.99768030E-01,+5.00066200E+00,41.322436001


Board 1, Common Mode Control circuit active, 1MHz F0, 10nF caps added
experiment 1: Single ended sweep
neg,pos,LTC2498,inmeter, refmeter, error (uV)
2.0,1.5,0.0499860562384,+4.99881720E-01,+5.00065570E+00,38.3955127861
2.0,1.616,0.0383912075311,+3.83923360E-01,+5.00065690E+00,34.5465346644
2.0,1.732,0.0267878290266,+2.67887150E-01,+5.00065820E+00,23.1890841758
2.0,1.848,0.0151917435229,+1.51921810E-01,+5.00065820E+00,13.8005512263
2.0,1.964,0.00358774363995,+3.58781280E-02,+5.00065690E+00,3.59142914249
2.0,2.08,-0.00800781138241,-8.00818220E-02,+5.00065690E+00,-5.85150767564
2.0,2.196,-0.0196032259613,-1.96040550E-01,+5.00065570E+00,-15.0647952128
2.0,2.312,-0.0312065746635,-3.12080480E-01,+5.00065820E+00,-22.6020177178
2.0,2.428,-0.0428021289408,-4.28041130E-01,+5.00065820E+00,-31.3676511453
2.0,2.544,-0.0544063106179,-5.44084420E-01,+5.00065820E+00,-43.7776043708
2.0,2.66,-0.0660016842186,-6.60043900E-01,+5.00066070E+00,-52.2362603043
2.0,2.776,-0.0776054929942,-7.76084800E-01,+5.00065690E+00,-62.7749754815
2.0,2.892,-0.0892012298107,-8.92041140E-01,+5.00066070E+00,-78.3239922023
2.0,3.008,-0.100797683746,-1.00801480E+00,+5.00065690E+00,-82.3692064156
2.0,3.124,-0.112400970235,-1.12405050E+00,+5.00065940E+00,-93.9480459812
2.0,3.24,-0.123997906595,-1.24002490E+00,+5.00065940E+00,-102.813992246
2.0,3.356,-0.135601646826,-1.35605690E+00,+5.00065820E+00,-121.801356918
2.0,3.472,-0.147197519988,-1.47202260E+00,+5.00065690E+00,-128.323511393
2.0,3.588,-0.158793603256,-1.58798470E+00,+5.00065570E+00,-140.518440397
2.0,3.704,-0.170397218317,-1.70402390E+00,+5.00065820E+00,-152.145507671
2.0,3.82,-0.181993574277,-1.81998350E+00,+5.00065690E+00,-169.505747334
2.0,3.936,-0.193597356603,-1.93602520E+00,+5.00065440E+00,-178.513566938
2.0,4.052,-0.20519291386,-2.05199110E+00,+5.00066070E+00,-184.556280768
2.0,4.168,-0.216788738593,-2.16795050E+00,+5.00065940E+00,-196.771132995
2.0,4.284,-0.228392130509,-2.28398350E+00,+5.00065820E+00,-211.052239191
2.0,4.4,-0.239989494905,-2.39996040E+00,+5.00065820E+00,-221.671223795
experiment 2: +/-1V sweep, VCM = 1.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
1.0,2.0,-0.1000023406,-1.00006060E+00,+5.00065820E+00,-82.4482755928
1.04,1.96,-0.0919983040541,-9.20011780E-01,+5.00065940E+00,-81.5476239269
1.08,1.92,-0.0840044468641,-8.40069430E-01,+5.00065820E+00,-75.5411216335
1.12,1.88,-0.0760093037039,-7.60115480E-01,+5.00065690E+00,-68.296550164
1.16,1.84,-0.0679982334375,-6.80003400E-01,+5.00065820E+00,-60.2871058043
1.2,1.8,-0.060002335906,-6.00043270E-01,+5.00065690E+00,-51.7195365713
1.24,1.76,-0.0520074158907,-5.20089210E-01,+5.00065690E+00,-47.035089321
1.28,1.72,-0.0440123986453,-4.40139430E-01,+5.00065820E+00,-37.2126560933
1.32,1.68,-0.0360040552914,-3.60051640E-01,+5.00065940E+00,-32.0743860597
1.36,1.64,-0.0280075129122,-2.80084440E-01,+5.00066320E+00,-24.4772351018
1.4,1.6,-0.0200130391866,-2.00135140E-01,+5.00065690E+00,-19.1433279789
1.44,1.56,-0.0120025940239,-1.20031810E-01,+5.00065570E+00,-8.43006782002
1.48,1.52,-0.00400737561285,-4.00773850E-02,+5.00066070E+00,-1.18556838646
1.52,1.48,0.00398764312267,+3.98774370E-02,+5.00065690E+00,3.75465433395
1.56,1.44,0.0119833819568,+1.19837410E-01,+5.00065940E+00,10.7751833529
1.6,1.4,0.0199918210506,+1.99926690E-01,+5.00065940E+00,15.486596255
1.64,1.36,0.0279867872596,+2.79879350E-01,+5.00065940E+00,22.0730089995
1.68,1.32,0.0359826143831,+3.59839030E-01,+5.00065820E+00,30.1632424454
1.72,1.28,0.0439933501184,+4.39950040E-01,+5.00065570E+00,35.874633593
1.76,1.24,0.0519876629114,+5.19894800E-01,+5.00065690E+00,43.8917155314
1.8,1.2,0.0599840629846,+5.99856450E-01,+5.00065820E+00,55.9444647155
1.84,1.16,0.067978367582,+6.79803840E-01,+5.00065570E+00,60.8248948931
1.88,1.12,0.0759894296527,+7.59913950E-01,+5.00065940E+00,71.4422550817
1.92,1.08,0.0839823033661,+8.39846830E-01,+5.00065690E+00,76.4612972687
1.96,1.04,0.0919776912779,+9.19804960E-01,+5.00066070E+00,82.4542897726
2.0,1.0,0.0999802052975,+9.99831110E-01,+5.00066200E+00,91.3186092314
experiment 3: +/-1V sweep, VCM = 2.5V
neg,pos,LTC2498,inmeter, refmeter, error (uV)
