-40C run 1
Vref = 4.999600
experiment 1: Low CM
neg,pos,LTC2449,HP3456
experiment 2: Ideal CM
neg,pos,LTC2449,HP3456
2.3,2.7,-0.0799964219332,-3.99948700E-01
2.316,2.684,-0.0736183598638,-3.68062880E-01
2.332,2.668,-0.0672117397189,-3.36031090E-01
2.348,2.652,-0.0608024038374,-3.03987560E-01
2.364,2.636,-0.0544233433902,-2.72094250E-01
2.38,2.62,-0.0480182636529,-2.40071400E-01
2.396,2.604,-0.0416081529111,-2.08022500E-01
2.412,2.588,-0.0352015532553,-1.75991390E-01
2.428,2.572,-0.0288210194558,-1.44092930E-01
2.444,2.556,-0.0224128309637,-1.12053210E-01
2.46,2.54,-0.016005396843,-8.00179510E-02
2.476,2.524,-0.00962503068149,-4.81209190E-02
2.492,2.508,-0.00321950763464,-1.60958080E-02
2.508,2.492,0.00319312140346,+1.59659240E-02
2.524,2.476,0.00959773175418,+4.79863910E-02
2.54,2.46,0.0159776713699,+7.98824180E-02
2.556,2.444,0.0223841406405,+1.11913780E-01
2.572,2.428,0.0287928171456,+1.43954290E-01
2.588,2.412,0.0351766590029,+1.75869130E-01
2.604,2.396,0.0415789019316,+2.07879870E-01
2.62,2.38,0.0479905642569,+2.39934480E-01
2.636,2.364,0.0543966386467,+2.71963780E-01
2.652,2.348,0.0607750378549,+3.03851370E-01
2.668,2.332,0.0671826563776,+3.35888430E-01
2.684,2.316,0.0735889617354,+3.67917250E-01
experiment 3: High CM
neg,pos,LTC2449,HP3456
4.6,5.0,-0.080026268959,-3.99998310E-01
4.616,4.984,-0.0736316293478,-3.68032840E-01
4.632,4.968,-0.0672215837985,-3.35995680E-01
4.648,4.952,-0.0608085803688,-3.03941810E-01
4.664,4.936,-0.0544182397425,-2.72000630E-01
4.68,4.92,-0.0480196252465,-2.40017180E-01
4.696,4.904,-0.0416089389473,-2.07974380E-01
4.712,4.888,-0.0352124124765,-1.76002360E-01
4.728,4.872,-0.0288192816079,-1.44046060E-01
4.744,4.856,-0.0224127899855,-1.12024660E-01
4.76,4.84,-0.0160031598061,-7.99858780E-02
4.776,4.824,-0.00960839167237,-4.80237660E-02
4.792,4.808,-0.00321182794869,-1.60519480E-02
4.808,4.792,0.00319789536297,+1.59879040E-02
4.824,4.776,0.00959411822259,+4.79593520E-02
4.84,4.76,0.0159884672612,+7.99176180E-02
4.856,4.744,0.0223976299167,+1.11955540E-01
4.872,4.728,0.0288066212088,+1.43989820E-01
4.888,4.712,0.0352007076144,+1.75948420E-01
4.904,4.696,0.0415968447924,+2.07917890E-01
4.92,4.68,0.0480066183954,+2.39958410E-01
4.936,4.664,0.0544030610472,+2.71929500E-01
4.952,4.648,0.0607966240495,+3.03887650E-01
4.968,4.632,0.0672065559775,+3.35925080E-01
4.984,4.616,0.0736165381968,+3.67965870E-01
>>> 
25C test
Ref=4.999294
experiment 1: Low CM
neg,pos,LTC2449,HP3456
0.0,0.4,-0.0799582563341,-3.99870170E-01
0.016,0.384,-0.0735976714641,-3.68026230E-01
0.032,0.368,-0.0671942774206,-3.36003790E-01
0.048,0.352,-0.0607903841883,-3.03977590E-01
0.064,0.336,-0.0543964337558,-2.72007730E-01
0.08,0.32,-0.0480039920658,-2.40042480E-01
0.096,0.304,-0.0416012387723,-2.08025110E-01
0.112,0.288,-0.0352102499455,-1.76067800E-01
0.128,0.272,-0.0288176499307,-1.44102030E-01
0.144,0.256,-0.0224100649357,-1.12060070E-01
0.16,0.24,-0.0160032473505,-8.00215770E-02
0.176,0.224,-0.00960920006037,-4.80514160E-02
0.192,0.208,-0.00322156772017,-1.61065360E-02
0.208,0.192,0.00318511947989,+1.59296150E-02
0.224,0.176,0.00957607477903,+4.78858620E-02
0.24,0.16,0.0159682072699,+7.98509310E-02
0.256,0.144,0.0223748665303,+1.11887230E-01
0.272,0.128,0.0287808440626,+1.43920130E-01
0.288,0.112,0.0351741872728,+1.75890200E-01
0.304,0.096,0.0415658261627,+2.07849950E-01
0.32,0.08,0.0479703154415,+2.39874270E-01
0.336,0.064,0.0543615277857,+2.71835010E-01
0.352,0.048,0.0607534609735,+3.03796900E-01
0.368,0.032,0.0671582259238,+3.35824730E-01
0.384,0.016,0.0735638476908,+3.67855920E-01
experiment 2: Ideal CM
neg,pos,LTC2449,HP3456
2.3,2.7,-0.0801004040986,-4.00358190E-01
2.316,2.684,-0.0736996531487,-3.68425380E-01
2.332,2.668,-0.0672877505422,-3.36379370E-01
2.348,2.652,-0.0608750190586,-3.04321510E-01
2.364,2.636,-0.0544948428869,-2.72429690E-01
2.38,2.62,-0.048088112846,-2.40399500E-01
2.396,2.604,-0.0416774265468,-2.08352460E-01
2.412,2.588,-0.0352705568075,-1.76321350E-01
2.428,2.572,-0.0288891009986,-1.44419400E-01
2.444,2.556,-0.0224802363664,-1.12380680E-01
2.46,2.54,-0.0160724874586,-8.03436730E-02
2.476,2.524,-0.00969137065113,-4.84481700E-02
2.492,2.508,-0.00328541919589,-1.64212430E-02
2.508,2.492,0.00312563218176,+1.56311910E-02
2.524,2.476,0.00953156873584,+4.76562580E-02
2.54,2.46,0.0159112568945,+7.95498500E-02
2.556,2.444,0.022318713367,+1.11579950E-01
2.572,2.428,0.0287269037217,+1.43615970E-01
2.588,2.412,0.0351095162332,+1.75524710E-01
2.604,2.396,0.0415135230869,+2.07541430E-01
2.62,2.38,0.0479243658483,+2.39590800E-01
2.636,2.364,0.0543313231319,+2.71618850E-01
2.652,2.348,0.0607087537646,+3.03500090E-01
2.668,2.332,0.067117433995,+3.35541740E-01
2.684,2.316,0.0735237561166,+3.67564730E-01
experiment 3: High CM
neg,pos,LTC2449,HP3456
4.6,5.0,-0.0802431888878,-4.01028720E-01
4.616,4.984,-0.0738386120647,-3.69033080E-01
4.632,4.968,-0.0674255285412,-3.36986700E-01
4.648,4.952,-0.0610124971718,-3.04933080E-01
4.664,4.936,-0.0546206217259,-2.72987410E-01
4.68,4.92,-0.0482226423919,-2.41013280E-01
4.696,4.904,-0.0418135151267,-2.08977860E-01
4.712,4.888,-0.0354184228927,-1.77017430E-01
4.728,4.872,-0.0290243886411,-1.45057140E-01
4.744,4.856,-0.0226179342717,-1.13039610E-01
4.76,4.84,-0.0162079427391,-8.10028600E-02
4.776,4.824,-0.00981390848756,-4.90443780E-02
4.792,4.808,-0.00341858156025,-1.70805600E-02
4.808,4.792,0.00299188122153,+1.49577800E-02
4.824,4.776,0.00938546471298,+4.69137030E-02
4.84,4.76,0.0157790705562,+7.88684770E-02
4.856,4.744,0.022188404575,+1.10902690E-01
4.872,4.728,0.0285967681557,+1.42933110E-01
4.888,4.712,0.0349907204509,+1.74892080E-01
4.904,4.696,0.0413859654218,+2.06852210E-01
4.92,4.68,0.0477941185236,+2.38880390E-01
4.936,4.664,0.0541896540672,+2.70846860E-01
4.952,4.648,0.0605827849358,+3.02802020E-01
4.968,4.632,0.0669923257083,+3.34826590E-01
4.984,4.616,0.0733996145427,+3.66854910E-01
>>> 


85C
Vref=5.000052

neg,pos,LTC2449,HP3456
0.0,0.4,-0.0799504760653,-3.99848350E-01
0.016,0.384,-0.0735794790089,-3.67986590E-01
0.032,0.368,-0.0671778079122,-3.35969510E-01
0.048,0.352,-0.0607746448368,-3.03958890E-01
0.064,0.336,-0.0543848890811,-2.71991030E-01
0.08,0.32,-0.047995435074,-2.40042860E-01
0.096,0.304,-0.041593760252,-2.08014390E-01
